empresa
ABEV3
BBAS3
BBDC3
BBDC4
BBSE3
BRAP4
BRFS3
BRKM5
BRML3
BRPR3
BVMF3
CCRO3
CESP6
CIEL3
CMIG4
CPFE3
CPLE6
CRUZ3
CSAN3
CSNA3
CTIP3
CYRE3
DTEX3
ECOR3
ELET3
ELET6
EMBR3
ENBR3
ESTC3
FIBR3
GFSA3
GGBR4
GOAU4
GOLL4
HGTX3
HYPE3
IBOV
ITSA4
ITUB4
JBSS3
KLBN11
KROT3
LAME4
LREN3
MRFG3
MRVE3
MULT3
NATU3
OIBR4
PCAR4
PETR3
PETR4
POMO4
QUAL3
RENT3
RUMO3
SANB11
SBSP3
SMLE3
SUZB5
TBLE3
TIMP3
UGPA3
USIM5
VALE3
VALE5
VIVT4
